"","leaf_1","leaf_2","leaf_3","leaf_4","leaf_5","leaf_6","leaf_7","leaf_8","leaf_9","leaf_10","leaf_11","leaf_12","leaf_13","leaf_14","leaf_15","leaf_16","leaf_17","leaf_18","leaf_19","leaf_20"
"leaf_1",0.409,0,0,0,0,0,0,0,0.349,0.315,0,0.323,0.384,0,0,0.349,0.315,0,0.384,0
"leaf_2",0,0.409,0.276,0.215,0.276,0.006,0.033,0.033,0,0,0.382,0,0,0.276,0.033,0,0,0.033,0,0.382
"leaf_3",0,0.276,0.41,0.215,0.348,0.006,0.033,0.033,0,0,0.276,0,0,0.317,0.033,0,0,0.033,0,0.276
"leaf_4",0,0.215,0.215,0.409,0.215,0.006,0.033,0.033,0,0,0.215,0,0,0.215,0.033,0,0,0.033,0,0.215
"leaf_5",0,0.276,0.348,0.215,0.41,0.006,0.033,0.033,0,0,0.276,0,0,0.317,0.033,0,0,0.033,0,0.276
"leaf_6",0,0.006,0.006,0.006,0.006,0.409,0.006,0.006,0,0,0.006,0,0,0.006,0.006,0,0,0.006,0,0.006
"leaf_7",0,0.033,0.033,0.033,0.033,0.006,0.408,0.397,0,0,0.033,0,0,0.033,0.394,0,0,0.397,0,0.033
"leaf_8",0,0.033,0.033,0.033,0.033,0.006,0.397,0.408,0,0,0.033,0,0,0.033,0.394,0,0,0.4,0,0.033
"leaf_9",0.349,0,0,0,0,0,0,0,0.409,0.315,0,0.323,0.349,0,0,0.392,0.315,0,0.349,0
"leaf_10",0.315,0,0,0,0,0,0,0,0.315,0.409,0,0.315,0.315,0,0,0.315,0.4,0,0.315,0
"leaf_11",0,0.382,0.276,0.215,0.276,0.006,0.033,0.033,0,0,0.409,0,0,0.276,0.033,0,0,0.033,0,0.408
"leaf_12",0.323,0,0,0,0,0,0,0,0.323,0.315,0,0.409,0.323,0,0,0.323,0.315,0,0.323,0
"leaf_13",0.384,0,0,0,0,0,0,0,0.349,0.315,0,0.323,0.409,0,0,0.349,0.315,0,0.399,0
"leaf_14",0,0.276,0.317,0.215,0.317,0.006,0.033,0.033,0,0,0.276,0,0,0.41,0.033,0,0,0.033,0,0.276
"leaf_15",0,0.033,0.033,0.033,0.033,0.006,0.394,0.394,0,0,0.033,0,0,0.033,0.408,0,0,0.394,0,0.033
"leaf_16",0.349,0,0,0,0,0,0,0,0.392,0.315,0,0.323,0.349,0,0,0.409,0.315,0,0.349,0
"leaf_17",0.315,0,0,0,0,0,0,0,0.315,0.4,0,0.315,0.315,0,0,0.315,0.409,0,0.315,0
"leaf_18",0,0.033,0.033,0.033,0.033,0.006,0.397,0.4,0,0,0.033,0,0,0.033,0.394,0,0,0.408,0,0.033
"leaf_19",0.384,0,0,0,0,0,0,0,0.349,0.315,0,0.323,0.399,0,0,0.349,0.315,0,0.409,0
"leaf_20",0,0.382,0.276,0.215,0.276,0.006,0.033,0.033,0,0,0.408,0,0,0.276,0.033,0,0,0.033,0,0.409
