	leaf_13	leaf_14	leaf_17	leaf_15	leaf_19	leaf_20	leaf_12	leaf_18	leaf_11	leaf_16	leaf_6	leaf_9	leaf_3	leaf_10	leaf_1	leaf_2	leaf_8	leaf_5	leaf_4	leaf_7
leaf_13	0.8130000000000001	0.798	0.798	0.756	0.756	0.756	0.756	0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_14	0.798	0.8130000000000001	0.799	0.756	0.756	0.756	0.756	0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_17	0.798	0.799	0.8130000000000001	0.756	0.756	0.756	0.756	0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_15	0.756	0.756	0.756	0.8140000000000001	0.788	0.788	0.788	0.788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_19	0.756	0.756	0.756	0.788	0.8140000000000001	0.8130000000000001	0.794	0.794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_20	0.756	0.756	0.756	0.788	0.8130000000000001	0.8140000000000001	0.794	0.794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_12	0.756	0.756	0.756	0.788	0.794	0.794	0.8140000000000001	0.795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_18	0.756	0.756	0.756	0.788	0.794	0.794	0.795	0.8140000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
leaf_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8130000000000001	0.616	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515
leaf_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.616	0.8130000000000001	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515	0.515
leaf_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.813	0.589	0.589	0.589	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001
leaf_9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.589	0.813	0.794	0.794	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001
leaf_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.589	0.794	0.813	0.806	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001
leaf_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.589	0.794	0.806	0.813	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001
leaf_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.813	0.794	0.794	0.581	0.581	0.581
leaf_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.794	0.813	0.801	0.581	0.581	0.581
leaf_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.794	0.801	0.813	0.581	0.581	0.581
leaf_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.581	0.581	0.581	0.813	0.739	0.739
leaf_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.581	0.581	0.581	0.739	0.8130000000000001	0.806
leaf_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.515	0.515	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.5740000000000001	0.581	0.581	0.581	0.739	0.806	0.8130000000000001
